Word,Time_s,F0_Hz,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
look,2.055301,199.241731,,,,,,
look,2.060474,197.622421,,,,,,
look,2.065646,197.1084,,,,,,
look,2.070819,196.536514,,,,,,
look,2.075991,195.694434,,,,,,
look,2.081163,195.808145,,,,,,
look,2.086336,194.761352,,,,,,
look,2.091508,194.370212,,,,,,
look,2.096681,193.379968,,,,,,
look,2.101853,192.545654,,,,,,
look,2.107026,192.733358,,,,,,
look,2.112198,191.618804,,,,,,
look,2.11737,191.992114,,,,,,
look,2.122543,192.439661,,,,,,
look,2.127715,192.831708,,,,,,
look,2.132888,191.747463,,,,,,
look,2.13806,191.912592,,,,,,
look,2.143232,194.041171,,,,,,
look,2.148405,192.839097,,,,,,
look,2.153577,194.47594,,,,,,
look,2.15875,194.661109,,,,,,
look,2.163922,195.014085,,,,,,
look,2.169095,198.837922,,,,,,
look,2.174267,204.543283,,,,,,
look,2.179439,202.255798,,,,,,
look,2.184612,200.299039,,,,,,
look,2.189784,200.051999,,,,,,
look,2.194957,200.792985,,,,,,
look,2.200129,202.094725,,,,,,
look,2.205301,202.484617,,,,,,
look,2.210474,203.381421,,,,,,
look,2.215646,204.364265,,,,,,
look,2.220819,205.522881,,,,,,
look,2.225991,207.32833,,,,,,
look,2.231163,207.916753,,,,,,
look,2.236336,207.506033,,,,,,
look,2.241508,208.210747,,,,,,
look,2.246681,209.822121,,,,,,
look,2.251853,211.206424,,,,,,
look,2.257026,210.892196,,,,,,
look,2.262198,210.526061,,,,,,
look,2.26737,210.667978,,,,,,
look,2.272543,210.694472,,,,,,
look,2.277715,210.044744,,,,,,
look,2.282888,209.590058,,,,,,
look,2.28806,208.874705,,,,,,
look,2.293232,210.029098,,,,,,
look,2.298405,210.505137,,,,,,
look,2.303577,210.559074,,,,,,
look,2.30875,210.1552,,,,,,
look,2.313922,209.657309,,,,,,
look,2.319095,208.952031,,,,,,
look,2.324267,207.928964,,,,,,
look,2.329439,210.398997,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
look,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
great,--undefined--,--undefined--,,,,,,
